# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"mfp (nm)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
0.00746 0.00000 0.00000 0.00000
0.00748 0.00000 0.00000 0.00000
0.00750 0.00000 0.00000 0.00000
0.00752 0.00000 0.00000 0.00000
0.00754 0.00000 0.00000 0.00000
0.00755 0.00000 0.00000 0.00000
0.00757 0.00000 0.00000 0.00000
0.00759 0.00000 0.00000 0.00000
0.00761 0.00000 0.00000 0.00000
0.00763 0.00000 0.00000 0.00000
0.00765 0.00000 0.00000 0.00000
0.00766 0.00000 0.00000 0.00000
0.00768 0.00000 0.00000 0.00000
0.00770 0.00000 0.00000 0.00000
0.00772 0.00000 0.00000 0.00000
0.00774 0.00000 0.00000 0.00000
0.00776 0.00000 0.00000 0.00000
0.00778 0.00000 0.00000 0.00000
0.00779 0.00000 0.00000 0.00000
0.00781 0.00000 0.00000 0.00000
0.00783 0.00000 0.00000 0.00000
0.00785 0.00000 0.00000 0.00000
0.00787 0.00000 0.00000 0.00000
0.00789 0.00000 0.00000 0.00000
0.00791 0.00000 0.00000 0.00000
0.00793 0.00000 0.00000 0.00000
0.00795 0.00000 0.00000 0.00000
0.00797 0.00000 0.00000 0.00000
0.00799 0.00000 0.00000 0.00000
0.00800 0.00000 0.00000 0.00000
0.00802 0.00000 0.00000 0.00000
0.00804 0.00000 0.00000 0.00000
0.00806 0.00000 0.00000 0.00000
0.00808 0.00000 0.00000 0.00000
0.00810 0.00000 0.00000 0.00000
0.00812 0.00000 0.00000 0.00000
0.00814 0.00000 0.00000 0.00000
0.00816 0.00000 0.00000 0.00000
0.00818 0.00000 0.00000 0.00000
0.00820 0.00000 0.00000 0.00000
0.00822 0.00000 0.00000 0.00000
0.00824 0.00000 0.00000 0.00000
0.00826 0.00000 0.00000 0.00000
0.00828 0.00000 0.00000 0.00000
0.00830 0.00000 0.00000 0.00000
0.00832 0.00000 0.00000 0.00000
0.00834 0.00000 0.00000 0.00000
0.00836 0.00000 0.00000 0.00000
0.00838 0.00000 0.00000 0.00000
0.00840 0.00000 0.00000 0.00000
0.00842 0.00000 0.00000 0.00000
0.00844 0.00000 0.00000 0.00000
0.00846 0.00000 0.00000 0.00000
0.00848 0.00000 0.00000 0.00000
0.00850 0.00000 0.00000 0.00000
0.00852 0.00000 0.00000 0.00000
0.00854 0.00000 0.00000 0.00000
0.00856 0.00000 0.00000 0.00000
0.00858 0.00000 0.00000 0.00000
0.00860 0.00000 0.00000 0.00000
0.00862 0.00000 0.00000 0.00000
0.00865 0.00000 0.00000 0.00000
0.00867 0.00000 0.00000 0.00000
0.00869 0.00000 0.00000 0.00000
0.00871 0.00000 0.00000 0.00000
0.00873 0.00000 0.00000 0.00000
0.00875 0.00000 0.00000 0.00000
0.00877 0.00000 0.00000 0.00000
0.00879 0.00000 0.00000 0.00000
0.00881 0.00000 0.00000 0.00000
0.00884 0.00000 0.00000 0.00000
0.00886 0.00000 0.00000 0.00000
0.00888 0.00000 0.00000 0.00000
0.00890 0.00000 0.00000 0.00000
